_id,name,rel,customer,newCol1,newCol2,status,orderType,config,platform,accType,testedBy,submissionReason,reqDate,submissionDate,startDate,endDate,rolloverDate,rolloverDays,rolloverDaysH,waitingDays,waitingDaysH,testingDays,testingDaysH,reportNo,releaseDate,reviewedBy,codeCompare,newFW,tBugs,is_delete,user_id,date,__v
66ff8d975fd9b4586d60351b,CAO02300,1.0,Intellismart ,PVVNL ,4G,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,San,bug fixed,2024-07-17T00:00:00.000Z,2024-07-23T00:00:00.000Z,2024-07-24T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-30T00:00:00.000Z,4.0,2.0,2.0,1.0,3.0,3.0,0,1970-01-01T00:00:00.000Z,BHR,0,0,0.0,False,66ff8d975fd9b4586d60351b,0,0
66ff8d975fd9b4586d60351c,nLo021.13,13.0,Adani,APDCL,DI,Subs Itr rel,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,AM,bug fixed,2024-07-18T00:00:00.000Z,2024-07-24T00:00:00.000Z,2024-07-24T00:00:00.000Z,2024-07-24T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,1.0,0.0,1.0,1.0,0,1970-01-01T00:00:00.000Z,SAN,0,0,0.0,False,66ff8d975fd9b4586d60351c,0,0
66ff8d975fd9b4586d60351d,nLo025.09,9.0,Adani,APDCL,0,Withdrawn,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,0,CR changes,2024-07-18T00:00:00.000Z,2024-07-24T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d60351d,0,0
66ff8d975fd9b4586d60351e,CBO025.01,1.0,Adani,APCPDCL,4G,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,VN,(Cr change) Sr. no. format is change ,2024-07-03T00:00:00.000Z,2024-07-24T00:00:00.000Z,2024-07-24T00:00:00.000Z,2024-07-24T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,1.0,0.0,1.0,0.5,109184,2024-07-25T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d60351e,0,0
66ff8d975fd9b4586d60351f,CBO026.01,1.0,Adani,APSPDCL,4G,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,VN,(Cr change) Sr. no. format is change ,2024-07-03T00:00:00.000Z,2024-07-24T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-07-25T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,2.0,1.0,1.0,0.5,109185,2024-07-25T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d60351f,0,0
66ff8d975fd9b4586d603520,CAO02100,2.0,TPCL,TPCL,4G(SIMCOM module with taoglass ),Withdrawn,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,0,bug fixed,2024-06-27T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-07-25T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,1.0,0.0,0.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603520,0,0
66ff8d975fd9b4586d603521,nHo055.06,6.0,Iskraemeco ,UGVCL,0,Completed,DLMS Order,3P4W HTCT 63.5V 5-10A,NORTEM,SMART,NB,CR changes,2024-05-10T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-09-02T00:00:00.000Z,2024-09-03T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,40.0,22.0,2.0,2.0,0,1970-01-01T00:00:00.000Z,VN,0,0,0.0,False,66ff8d975fd9b4586d603521,0,0
66ff8d975fd9b4586d603522,SF48.01,0.0,WBSEDCL ,WBSEDCL ,0,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,AM,Field observation corrected,2024-07-25T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-30T00:00:00.000Z,1.0,1.0,5.0,1.0,1.0,2.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603522,0,0
66ff8d975fd9b4586d603523,HHo011.06,6.0,Montecarlo ,MSEDCL,DI,Pending,DLMS Order, 3P4W HTCT Cl 0.5 5-10A,NORTEM,SMART,0,CR changes,2024-07-25T00:00:00.000Z,2024-07-25T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603523,0,0
66ff8d975fd9b4586d603524,CAO02100,3.0,TPCL,TPCL,4G(SIMCOM module with taoglass ),Exp Next Itr,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,BCP,bug fixed,2024-06-27T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-31T00:00:00.000Z,2.0,2.0,2.0,1.0,4.0,2.0,0,1970-01-01T00:00:00.000Z,AVM,0,0,0.0,False,66ff8d975fd9b4586d603524,0,0
